City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Dakar,SN,2022-05-16 15:55:19,14.6937,-17.4441,89.73,48,57,4.61
68,Gorzow Wielkopolski,PL,2022-05-16 15:57:52,52.7368,15.2288,68.86,40,96,7.25
69,Alofi,NU,2022-05-16 15:58:32,-19.0595,-169.9187,71.49,83,75,8.05
70,Narsaq,GL,2022-05-16 15:58:33,60.9167,-46.05,43.99,54,99,4.27
71,Ilulissat,GL,2022-05-16 15:58:33,69.2167,-51.1,27.97,70,6,3.06
72,Sovetskiy,RU,2022-05-16 15:58:34,61.3614,63.5842,53.33,62,35,2.73
73,Ginir,ET,2022-05-16 15:58:34,7.1333,40.7,63.27,67,43,10.8
74,Novyy Yegorlyk,RU,2022-05-16 15:58:34,46.3927,41.8716,58.66,70,42,9.86
75,Yulara,AU,2022-05-16 15:58:35,-25.2406,130.9889,60.17,43,76,12.37
76,Bathsheba,BB,2022-05-16 15:58:35,13.2167,-59.5167,86.61,70,20,20.71
77,Hermanus,ZA,2022-05-16 15:55:06,-34.4187,19.2345,72.81,42,31,2.33
78,Brae,GB,2022-05-16 15:58:36,60.3964,-1.353,49.5,68,12,20.76
79,Maldonado,UY,2022-05-16 15:58:36,-34.6667,-54.9167,56.59,82,97,21.56
80,Saint Anthony,US,2022-05-16 15:58:36,45.0205,-93.218,68.09,44,2,8.01
81,Esperance,AU,2022-05-16 15:56:10,-33.8667,121.9,55.99,73,0,14.56
82,Amga,RU,2022-05-16 15:58:37,60.8953,131.9608,32.43,95,98,3.0
83,New Norfolk,AU,2022-05-16 15:58:37,-42.7826,147.0587,45.9,78,58,7.96
84,Port Elizabeth,ZA,2022-05-16 15:58:38,-33.918,25.5701,74.1,74,0,4.61
85,Tiksi,RU,2022-05-16 15:58:38,71.6872,128.8694,18.77,95,100,12.75
86,Saint-Pierre,RE,2022-05-16 15:59:38,-21.3393,55.4781,73.08,78,100,11.5
87,Novouzensk,RU,2022-05-16 15:59:39,50.4592,48.1431,56.41,66,97,15.21
88,Mar Del Plata,AR,2022-05-16 15:55:22,-38.0023,-57.5575,53.94,79,75,17.27
89,Whitehorse,CA,2022-05-16 15:59:39,60.7161,-135.0538,38.17,77,100,3.44
90,Sura,RU,2022-05-16 15:59:40,53.8879,45.7419,49.8,89,100,13.06
91,North Platte,US,2022-05-16 15:59:40,41.1239,-100.7654,72.25,54,4,13.0
92,Thompson,CA,2022-05-16 15:59:40,55.7435,-97.8558,39.36,52,20,9.22
93,Carballo,ES,2022-05-16 15:59:41,43.213,-8.691,74.43,63,50,12.44
94,Luderitz,NA,2022-05-16 15:59:41,-26.6481,15.1594,73.54,32,1,2.04
95,Flinders,AU,2022-05-16 15:59:42,-34.5833,150.8552,58.17,72,11,4.0
96,Luau,AO,2022-05-16 15:59:42,-10.7073,22.2247,72.09,50,9,3.09
97,Pitimbu,BR,2022-05-16 15:59:42,-7.4706,-34.8086,86.59,74,36,12.1
98,Saravan,AM,2022-05-16 15:59:43,39.7196,45.6483,50.77,82,87,2.26
99,Buraydah,SA,2022-05-16 15:59:43,26.326,43.975,100.85,9,0,11.72
100,Grand Gaube,MU,2022-05-16 15:59:44,-20.0064,57.6608,77.4,69,51,7.0
101,The Valley,AI,2022-05-16 15:59:44,18.217,-63.0578,84.06,74,75,18.41
